year,month,nao
1975,jun,-0.84
1975,jul,1.55
1975,aug,-0.26
1975,sep,1.56
1975,oct,-0.54
1975,nov,0.41
1975,dec,0
1976,jan,-0.25
1976,feb,0.93
1976,mar,0.75
1976,apr,0.26
1976,may,0.96
1976,jun,0.8
1976,jul,-0.32
1976,aug,1.92
1976,sep,-1.29
1976,oct,-0.08
1976,nov,0.17
1976,dec,-1.6
1977,jan,-1.04
1977,feb,-0.49
1977,mar,-0.81
1977,apr,0.65
1977,may,-0.86
1977,jun,-0.57
1977,jul,-0.45
1977,aug,-0.28
1977,sep,0.37
1977,oct,0.52
1977,nov,-0.07
1977,dec,-1
1978,jan,0.66
1978,feb,-2.2
1978,mar,0.7
1978,apr,-1.17
1978,may,1.08
1978,jun,1.38
1978,jul,-1.14
1978,aug,0.64
1978,sep,0.46
1978,oct,1.93
1978,nov,3.04
1978,dec,-1.57
1979,jan,-1.38
1979,feb,-0.67
1979,mar,0.78
1979,apr,-1.71
1979,may,-1.03
1979,jun,1.6
1979,jul,0.83
1979,aug,0.96
1979,sep,1.01
1979,oct,-0.3
1979,nov,0.53
1979,dec,1
1980,jan,-0.75
1980,feb,0.05
1980,mar,-0.31
1980,apr,1.29
1980,may,-1.5
1980,jun,-0.37
1980,jul,-0.42
1980,aug,-2.24
1980,sep,0.66
1980,oct,-1.77
1980,nov,-0.37
1980,dec,0.78
1981,jan,0.37
1981,feb,0.92
1981,mar,-1.19
1981,apr,0.36
1981,may,0.2
1981,jun,-0.45
1981,jul,0.05
1981,aug,0.39
1981,sep,-1.45
1981,oct,-1.35
1981,nov,-0.38
1981,dec,-0.02
1982,jan,-0.89
1982,feb,1.15
1982,mar,1.15
1982,apr,0.1
1982,may,-0.53
1982,jun,-1.63
1982,jul,1.15
1982,aug,0.26
1982,sep,1.76
1982,oct,-0.74
1982,nov,1.6
1982,dec,1.78
1983,jan,1.59
1983,feb,-0.53
1983,mar,0.95
1983,apr,-0.85
1983,may,-0.07
1983,jun,0.99
1983,jul,1.19
1983,aug,1.61
1983,sep,-1.12
1983,oct,0.65
1983,nov,-0.98
1983,dec,0.29
1984,jan,1.66
1984,feb,0.72
1984,mar,-0.37
1984,apr,-0.28
1984,may,0.54
1984,jun,-0.42
1984,jul,-0.07
1984,aug,1.15
1984,sep,0.17
1984,oct,-0.07
1984,nov,-0.06
1984,dec,0
1985,jan,-1.61
1985,feb,-0.49
1985,mar,0.2
1985,apr,0.32
1985,may,-0.49
1985,jun,-0.8
1985,jul,1.22
1985,aug,-0.48
1985,sep,-0.52
1985,oct,0.9
1985,nov,-0.67
1985,dec,0.22
1986,jan,1.11
1986,feb,-1
1986,mar,1.71
1986,apr,-0.59
1986,may,0.85
1986,jun,1.22
1986,jul,0.12
1986,aug,-1.09
1986,sep,-1.12
1986,oct,1.55
1986,nov,2.29
1986,dec,0.99
1987,jan,-1.15
1987,feb,-0.73
1987,mar,0.14
1987,apr,2
1987,may,0.98
1987,jun,-1.82
1987,jul,0.52
1987,aug,-0.83
1987,sep,-1.22
1987,oct,0.14
1987,nov,0.18
1987,dec,0.32
1988,jan,1.02
1988,feb,0.76
1988,mar,-0.17
1988,apr,-1.17
1988,may,0.63
1988,jun,0.88
1988,jul,-0.35
1988,aug,0.04
1988,sep,-0.99
1988,oct,-1.08
1988,nov,-0.34
1988,dec,0.61
1989,jan,1.17
1989,feb,2
1989,mar,1.85
1989,apr,0.28
1989,may,1.38
1989,jun,-0.27
1989,jul,0.97
1989,aug,0.01
1989,sep,2.05
