Station,Year,Month,Temp
Lista,1954,12,9.92055555555556
Lista,1955,1,NaN
Lista,1955,2,NaN
Lista,1955,3,NaN
Lista,1955,4,NaN
Lista,1955,5,NaN
Lista,1955,6,NaN
Lista,1955,7,NaN
Lista,1955,8,NaN
Lista,1955,9,NaN
Lista,1955,10,NaN
Lista,1955,11,NaN
Lista,1955,12,NaN
Lista,1956,1,NaN
Lista,1956,2,NaN
Lista,1956,3,NaN
Lista,1956,4,NaN
Lista,1956,5,NaN
Lista,1956,6,NaN
Lista,1956,7,NaN
Lista,1956,8,NaN
Lista,1956,9,NaN
Lista,1956,10,NaN
Lista,1956,11,NaN
Lista,1956,12,NaN
Lista,1957,1,NaN
Lista,1957,2,NaN
Lista,1957,3,NaN
Lista,1957,4,NaN
Lista,1957,5,NaN
Lista,1957,6,NaN
Lista,1957,7,NaN
Lista,1957,8,11.9420707070707
Lista,1957,9,NaN
Lista,1957,10,NaN
Lista,1957,11,NaN
Lista,1957,12,NaN
Lista,1958,1,4.78212121212121
Lista,1958,2,NaN
Lista,1958,3,4.83333333333333
Lista,1958,4,NaN
Lista,1958,5,NaN
Lista,1958,6,NaN
Lista,1958,7,NaN
Lista,1958,8,11.5084343434343
Lista,1958,9,NaN
Lista,1958,10,11.9736868686869
Lista,1958,11,10.0035353535354
Lista,1958,12,7.76005050505051
Lista,1959,1,NaN
Lista,1959,2,6.35060606060606
Lista,1959,3,NaN
Lista,1959,4,5.44868686868687
Lista,1959,5,6.48570707070707
Lista,1959,6,7.95878787878788
Lista,1959,7,10.9307575757576
Lista,1959,8,11.3718686868687
Lista,1959,9,11.7363636363636
Lista,1959,10,12.2943434343434
Lista,1959,11,10.8513636363636
Lista,1959,12,7.99747474747475
Lista,1960,1,7.27035353535353
Lista,1960,2,4.81949494949495
Lista,1960,3,5.4229797979798
Lista,1960,4,5.66151515151515
Lista,1960,5,6.23277777777778
Lista,1960,6,8.13161616161616
Lista,1960,7,10.3957070707071
Lista,1960,8,11.6915151515152
Lista,1960,9,10.7181818181818
Lista,1960,10,12.0978282828283
Lista,1960,11,10.0482828282828
Lista,1960,12,8.47257575757576
Lista,1961,1,6.21368686868687
Lista,1961,2,5.26310810810811
Lista,1961,3,NaN
Lista,1961,4,5.76641414141414
Lista,1961,5,6.10020202020202
Lista,1961,6,7.97191919191919
Lista,1961,7,10.690202020202
Lista,1961,8,11.9896464646465
Lista,1961,9,12.8635353535354
Lista,1961,10,10.615303030303
Lista,1961,11,8.07176767676768
Lista,1961,12,8.90732323232323
Lista,1962,1,5.58732323232323
Lista,1962,2,5.8459595959596
Lista,1962,3,3.91116161616162
Lista,1962,4,4.64949494949495
Lista,1962,5,6.83656565656566
Lista,1962,6,6.26818181818182
Lista,1962,7,8.41722222222222
Lista,1962,8,10.0982323232323
Lista,1962,9,13.4419191919192
Lista,1962,10,12.1256565656566
Lista,1962,11,11.6643434343434
Lista,1962,12,8.50651515151515
Lista,1963,1,6.81055555555556
Lista,1963,2,5.2940404040404
Lista,1963,3,4.29611111111111
Lista,1963,4,5.02055555555556
Lista,1963,5,5.9019696969697
Lista,1963,6,5.23131313131313
Lista,1963,7,8.17227272727273
Lista,1963,8,10.199696969697
Lista,1963,9,12.7861616161616
Lista,1963,10,11.3126262626263
Lista,1963,11,9.78651515151515
Lista,1963,12,8.25590909090909
Lista,1964,1,6.89252525252525
Lista,1964,2,5.705
Lista,1964,3,4.78818181818182
Lista,1964,4,5.51323232323232
Lista,1964,5,6.46868686868687
Lista,1964,6,7.07959595959596
Lista,1964,7,10.4782323232323
Lista,1964,8,11.7045454545455
Lista,1964,9,13.3012121212121
Lista,1964,10,11.7391919191919
Lista,1964,11,8.86868686868687
Lista,1964,12,8.62020202020202
Lista,1965,1,6.38792929292929
Lista,1965,2,5.65207070707071
Lista,1965,3,6.08237373737374
Lista,1965,4,5.38782828282828
Lista,1965,5,5.81338383838384
Lista,1965,6,5.67984848484848
Lista,1965,7,9.21186868686869
Lista,1965,8,9.8770202020202
Lista,1965,9,12.1110101010101
Lista,1965,10,11.9780808080808
Lista,1965,11,NaN
Lista,1965,12,7.93585858585859
Lista,1966,1,3.76924242424242
Lista,1966,2,3.91065656565657
Lista,1966,3,4.35853535353535
Lista,1966,4,3.53585858585859
Lista,1966,5,4.10510101010101
Lista,1966,6,NaN
Lista,1966,7,NaN
Lista,1966,8,NaN
Lista,1966,9,10.5984343434343
Lista,1966,10,11.2269696969697
Lista,1966,11,12.1304545454545
Lista,1966,12,6.57373737373737
Lista,1967,1,6.48732323232323
Lista,1967,2,4.12242424242424
Lista,1967,3,NaN
Lista,1967,4,5.37954545454545
Lista,1967,5,NaN
Lista,1967,6,NaN
Lista,1967,7,NaN
Lista,1967,8,NaN
Lista,1967,9,NaN
Lista,1967,10,NaN
Lista,1967,11,NaN
Lista,1967,12,NaN
Lista,1968,1,NaN
Lista,1968,2,NaN
Lista,1968,3,NaN
Lista,1968,4,NaN
Lista,1968,5,6.2479797979798
Lista,1968,6,6.57959595959596
Lista,1968,7,8.62262626262626
Lista,1968,8,10.3772222222222
Lista,1968,9,NaN
Lista,1968,10,NaN
Lista,1968,11,NaN
Lista,1968,12,NaN
Lista,1969,1,5.20030303030303
Lista,1969,2,5.59227272727273
Lista,1969,3,4.40656565656566
Lista,1969,4,NaN
Lista,1969,5,5.51737373737374
Lista,1969,6,6.12424242424242
Lista,1969,7,7.47666666666667
Lista,1969,8,10.6567171717172
Lista,1969,9,11.6408585858586
